question_id,topic_id
it-passport-2024-q001,tp_04
it-passport-2024-q002,tp_19
it-passport-2024-q003,tp_09
it-passport-2024-q004,tp_09
it-passport-2024-q005,tp_01
it-passport-2024-q006,tp_09
it-passport-2024-q007,tp_26
it-passport-2024-q008,tp_03
it-passport-2024-q009,tp_48
it-passport-2024-q010,tp_02
it-passport-2024-q011,tp_27
it-passport-2024-q012,tp_32
it-passport-2024-q013,tp_34
it-passport-2024-q014,tp_48
it-passport-2024-q015,tp_05
it-passport-2024-q016,tp_26
it-passport-2024-q017,tp_09
it-passport-2024-q018,tp_08
it-passport-2024-q019,tp_30
it-passport-2024-q020,tp_40
it-passport-2024-q021,tp_30
it-passport-2024-q022,tp_01
it-passport-2024-q023,tp_26
it-passport-2024-q024,tp_48
it-passport-2024-q025,tp_31
it-passport-2024-q026,tp_33
it-passport-2024-q027,tp_02
it-passport-2024-q028,tp_29
it-passport-2024-q029,tp_09
it-passport-2024-q030,tp_03
it-passport-2024-q031,tp_34
it-passport-2024-q032,tp_06
it-passport-2024-q033,tp_26
it-passport-2024-q034,tp_34
it-passport-2024-q035,tp_46
it-passport-2024-q036,tp_07
it-passport-2024-q037,tp_07
it-passport-2024-q038,tp_36
it-passport-2024-q039,tp_36
it-passport-2024-q040,tp_26
it-passport-2024-q041,tp_07
it-passport-2024-q042,tp_38
it-passport-2024-q043,tp_43
it-passport-2024-q044,tp_36
it-passport-2024-q045,tp_44
it-passport-2024-q046,tp_36
it-passport-2024-q047,tp_26
it-passport-2024-q048,tp_38
it-passport-2024-q049,tp_07
it-passport-2024-q050,tp_50
it-passport-2024-q051,tp_27
it-passport-2024-q052,tp_07
it-passport-2024-q053,tp_08
it-passport-2024-q054,tp_08
it-passport-2024-q055,tp_38
it-passport-2024-q056,tp_13
it-passport-2024-q057,tp_20
it-passport-2024-q058,tp_29
it-passport-2024-q059,tp_29
it-passport-2024-q060,tp_22
it-passport-2024-q061,tp_18
it-passport-2024-q062,tp_29
it-passport-2024-q063,tp_14
it-passport-2024-q064,tp_19
it-passport-2024-q065,tp_32
